Postal Code,Population,Income,Number of Old Housings,Number of Apartment Units,Number of Health Professionals
M1B,65555.0,55310.0,860,2040,2750
M1C,35642.0,30290.0,1095,865,1235
M1E,48033.0,40115.0,3415,960,2180
M1G,30894.0,25345.0,3855,1170,1050
M1H,23964.0,20150.0,2075,585,880
M1J,37002.0,30075.0,3605,1155,1580
M1K,48175.0,40515.0,6445,1715,2015
M1L,35833.0,28530.0,4490,910,1345
M1M,23258.0,19530.0,3155,530,875
M1N,22976.0,19145.0,5350,840,575
M1P,45170.0,37455.0,4145,870,1600
M1R,30467.0,25675.0,5520,1430,1000
M1S,37663.0,32730.0,1070,995,1260
M1T,34607.0,29635.0,2120,770,1160
M1V,50825.0,43525.0,465,910,1425
M1W,47070.0,41080.0,780,475,1450
M1X,14810.0,12380.0,30,235,585
M2H,23396.0,20300.0,645,200,790
M2J,61761.0,52925.0,2060,285,2305
M2K,25377.0,22325.0,1300,95,1080
M2L,11274.0,9585.0,680,75,825
M2M,31915.0,28225.0,1865,620,1325
M2N,75100.0,65850.0,2960,615,2945
M2P,7546.0,6475.0,535,30,390
M2R,40581.0,35065.0,2765,445,2315
M3A,34361.0,29015.0,3500,110,1225
M3B,12880.0,11070.0,1365,35,715
M3C,39616.0,32990.0,2700,10,1395
M3H,38416.0,32180.0,4510,1225,2085
M3J,26600.0,22795.0,1240,285,980
M3K,7865.0,6680.0,915,250,340
M3L,19263.0,16070.0,1720,270,845
M3M,24906.0,21095.0,3070,265,985
M3N,40846.0,32975.0,2715,405,1345
M4A,14589.0,12195.0,1820,175,525
M4B,18612.0,15625.0,3810,360,560
M4C,46440.0,38230.0,9470,1110,1505
M4E,25473.0,20890.0,7480,565,775
M4G,19598.0,16200.0,4270,50,975
M4H,18698.0,13800.0,1460,0,340
M4J,35128.0,29140.0,9925,915,1130
M4K,30913.0,26165.0,8235,660,1120
M4L,32218.0,26140.0,8830,680,915
M4M,25052.0,21310.0,5585,650,810
M4N,16058.0,12785.0,3070,95,635
M4P,25057.0,22415.0,2330,65,975
M4R,11909.0,10130.0,2455,130,585
M4S,30754.0,26250.0,3670,175,1120
M4T,10332.0,8860.0,2115,185,310
M4V,19273.0,16970.0,4525,165,800
M4W,15296.0,13805.0,2640,140,495
M4X,19896.0,17305.0,2840,100,800
M4Y,36319.0,33450.0,3050,25,1560
M5A,48978.0,43280.0,4035,250,1700
M5B,17422.0,16035.0,760,25,840
M5C,3149.0,2855.0,70,0,150
M5E,11779.0,11060.0,130,0,500
M5G,9751.0,8920.0,90,0,1050
M5J,16879.0,15815.0,260,0,470
M5M,25495.0,20535.0,4175,295,1295
M5N,16154.0,13180.0,3565,285,965
M5P,19791.0,17275.0,4745,310,975
M5R,26197.0,22730.0,5565,360,1030
M5S,17074.0,14925.0,2200,170,750
M5T,17903.0,16235.0,2470,240,790
M5V,59912.0,55775.0,890,55,2345
M6A,22380.0,18490.0,2100,450,1165
M6B,28534.0,23670.0,3405,720,1350
M6C,23997.0,19865.0,6265,495,1035
M6E,37684.0,32405.0,8485,1335,1260
M6G,30600.0,25965.0,8960,875,935
M6H,43730.0,38180.0,10730,1695,1215
M6J,32111.0,28230.0,7040,1205,870
M6K,42110.0,37285.0,6630,395,1660
M6L,20156.0,16655.0,2425,290,765
M6M,42148.0,34810.0,5430,690,1560
M6N,40252.0,34340.0,7445,865,965
M6P,39870.0,34025.0,8420,805,1595
M6R,19349.0,16095.0,6575,690,690
M6S,34029.0,28040.0,8230,510,1185
M8V,44144.0,38830.0,5885,470,1705
M8W,22381.0,18990.0,4295,510,800
M8X,10624.0,9035.0,2030,25,375
M8Y,21986.0,18595.0,3930,195,765
M8Z,19312.0,15505.0,3175,280,785
M9A,36642.0,31410.0,3590,60,1335
M9B,33236.0,27880.0,4285,215,1255
M9C,38725.0,32915.0,3160,175,1200
M9L,11737.0,10005.0,580,90,360
M9M,24245.0,20035.0,1775,230,970
M9N,26059.0,21490.0,3485,400,860
M9P,20645.0,17185.0,2230,265,730
M9R,33783.0,28180.0,3085,325,1105
M9V,53878.0,44880.0,2975,1900,1765
M9W,40977.0,34675.0,4025,1750,1405
